Date,Description,Amount
01/29/2026,VENDOR 1288 PAYMENT,-238.99
01/30/2026,VENDOR 1289 PAYMENT,-162.99
01/31/2026,VENDOR 1290 PAYMENT,-225.99
02/01/2026,VENDOR 1291 PAYMENT,-178.99
02/02/2026,VENDOR 1292 PAYMENT,-479.99
02/03/2026,VENDOR 1293 PAYMENT,-369.99
02/04/2026,VENDOR 1294 PAYMENT,-52.99
02/05/2026,VENDOR 1295 PAYMENT,-134.99
02/06/2026,VENDOR 1296 PAYMENT,-122.99
02/07/2026,VENDOR 1297 PAYMENT,-323.99
02/08/2026,VENDOR 1298 PAYMENT,-349.99
02/09/2026,VENDOR 1299 PAYMENT,-373.99
02/10/2026,VENDOR 1300 PAYMENT,-20.99
02/11/2026,VENDOR 1301 PAYMENT,-50.99
02/12/2026,VENDOR 1302 PAYMENT,-139.99
02/13/2026,VENDOR 1303 PAYMENT,-99.99
02/14/2026,VENDOR 1304 PAYMENT,-422.99
02/15/2026,VENDOR 1305 PAYMENT,-33.99
02/16/2026,VENDOR 1306 PAYMENT,-394.99
02/17/2026,VENDOR 1307 PAYMENT,-141.99
02/18/2026,VENDOR 1308 PAYMENT,-463.99
02/19/2026,VENDOR 1309 PAYMENT,-213.99
02/20/2026,VENDOR 1310 PAYMENT,-79.99
02/21/2026,VENDOR 1311 PAYMENT,-47.99
02/22/2026,VENDOR 1312 PAYMENT,-267.99
02/23/2026,VENDOR 1313 PAYMENT,-260.99
02/24/2026,VENDOR 1314 PAYMENT,-135.99
02/25/2026,VENDOR 1315 PAYMENT,-85.99
02/26/2026,VENDOR 1316 PAYMENT,-200.99
02/27/2026,VENDOR 1317 PAYMENT,-456.99
02/28/2026,VENDOR 1318 PAYMENT,-224.99
03/01/2026,VENDOR 1319 PAYMENT,-436.99
03/02/2026,VENDOR 1320 PAYMENT,-485.99
03/03/2026,VENDOR 1321 PAYMENT,-256.99
03/04/2026,VENDOR 1322 PAYMENT,-105.99
03/05/2026,VENDOR 1323 PAYMENT,-408.99
03/06/2026,VENDOR 1324 PAYMENT,-329.99
03/07/2026,VENDOR 1325 PAYMENT,-138.99
03/08/2026,VENDOR 1326 PAYMENT,-252.99
03/09/2026,VENDOR 1327 PAYMENT,-299.99
03/10/2026,VENDOR 1328 PAYMENT,-175.99
03/11/2026,VENDOR 1329 PAYMENT,-481.99
03/12/2026,VENDOR 1330 PAYMENT,-144.99
03/13/2026,VENDOR 1331 PAYMENT,-480.99
03/14/2026,VENDOR 1332 PAYMENT,-353.99
03/15/2026,VENDOR 1333 PAYMENT,-116.99
03/16/2026,VENDOR 1334 PAYMENT,-182.99
03/17/2026,VENDOR 1335 PAYMENT,-253.99
03/18/2026,VENDOR 1336 PAYMENT,-412.99
03/19/2026,VENDOR 1337 PAYMENT,-97.99
03/20/2026,VENDOR 1338 PAYMENT,-16.99
03/21/2026,VENDOR 1339 PAYMENT,-196.99
03/22/2026,VENDOR 1340 PAYMENT,-49.99
03/23/2026,VENDOR 1341 PAYMENT,-160.99
03/24/2026,VENDOR 1342 PAYMENT,-156.99
03/25/2026,VENDOR 1343 PAYMENT,-89.99
03/26/2026,VENDOR 1344 PAYMENT,-264.99
03/27/2026,VENDOR 1345 PAYMENT,-403.99
03/28/2026,VENDOR 1346 PAYMENT,-226.99
03/29/2026,VENDOR 1347 PAYMENT,-231.99
03/30/2026,VENDOR 1348 PAYMENT,-110.99
03/31/2026,VENDOR 1349 PAYMENT,-488.99
04/01/2026,VENDOR 1350 PAYMENT,-389.99
04/02/2026,VENDOR 1351 PAYMENT,-446.99
04/03/2026,VENDOR 1352 PAYMENT,-30.99
04/04/2026,VENDOR 1353 PAYMENT,-236.99
04/05/2026,VENDOR 1354 PAYMENT,-71.99
04/06/2026,VENDOR 1355 PAYMENT,-217.99
04/07/2026,VENDOR 1356 PAYMENT,-354.99
04/08/2026,VENDOR 1357 PAYMENT,-429.99
04/09/2026,VENDOR 1358 PAYMENT,-283.99
04/10/2026,VENDOR 1359 PAYMENT,-285.99
04/11/2026,VENDOR 1360 PAYMENT,-372.99
04/12/2026,VENDOR 1361 PAYMENT,-391.99
04/13/2026,VENDOR 1362 PAYMENT,-277.99
04/14/2026,VENDOR 1363 PAYMENT,-275.99
04/15/2026,VENDOR 1364 PAYMENT,-36.99
04/16/2026,VENDOR 1365 PAYMENT,-19.99
04/17/2026,VENDOR 1366 PAYMENT,-39.99
04/18/2026,VENDOR 1367 PAYMENT,-258.99
04/19/2026,VENDOR 1368 PAYMENT,-461.99
04/20/2026,VENDOR 1369 PAYMENT,-404.99
04/21/2026,VENDOR 1370 PAYMENT,-272.99
04/22/2026,VENDOR 1371 PAYMENT,-362.99
04/23/2026,VENDOR 1372 PAYMENT,-294.99
04/24/2026,VENDOR 1373 PAYMENT,-335.99
04/25/2026,VENDOR 1374 PAYMENT,-289.99
04/26/2026,VENDOR 1375 PAYMENT,-468.99
04/27/2026,VENDOR 1376 PAYMENT,-280.99
04/28/2026,VENDOR 1377 PAYMENT,-430.99
04/29/2026,VENDOR 1378 PAYMENT,-267.99
04/30/2026,VENDOR 1379 PAYMENT,-291.99
05/01/2026,VENDOR 1380 PAYMENT,-44.99
05/02/2026,VENDOR 1381 PAYMENT,-192.99
05/03/2026,VENDOR 1382 PAYMENT,-145.99
05/04/2026,VENDOR 1383 PAYMENT,-332.99
05/05/2026,VENDOR 1384 PAYMENT,-29.99
05/06/2026,VENDOR 1385 PAYMENT,-255.99
05/07/2026,VENDOR 1386 PAYMENT,-98.99
05/08/2026,VENDOR 1387 PAYMENT,-156.99
05/09/2026,VENDOR 1388 PAYMENT,-11.99
05/10/2026,VENDOR 1389 PAYMENT,-173.99
05/11/2026,VENDOR 1390 PAYMENT,-5.99
05/12/2026,VENDOR 1391 PAYMENT,-366.99
05/13/2026,VENDOR 1392 PAYMENT,-82.99
05/14/2026,VENDOR 1393 PAYMENT,-65.99
05/15/2026,VENDOR 1394 PAYMENT,-176.99
05/16/2026,VENDOR 1395 PAYMENT,-461.99
05/17/2026,VENDOR 1396 PAYMENT,-415.99
05/18/2026,VENDOR 1397 PAYMENT,-473.99
05/19/2026,VENDOR 1398 PAYMENT,-213.99
05/20/2026,VENDOR 1399 PAYMENT,-336.99
05/21/2026,VENDOR 1400 PAYMENT,-108.99
05/22/2026,VENDOR 1401 PAYMENT,-162.99
05/23/2026,VENDOR 1402 PAYMENT,-455.99
05/24/2026,VENDOR 1403 PAYMENT,-4.99
05/25/2026,VENDOR 1404 PAYMENT,-198.99
05/26/2026,VENDOR 1405 PAYMENT,-249.99
05/27/2026,VENDOR 1406 PAYMENT,-20.99
05/28/2026,VENDOR 1407 PAYMENT,-206.99
05/29/2026,VENDOR 1408 PAYMENT,-276.99
05/30/2026,VENDOR 1409 PAYMENT,-120.99
05/31/2026,VENDOR 1410 PAYMENT,-244.99
06/01/2026,VENDOR 1411 PAYMENT,-463.99
06/02/2026,VENDOR 1412 PAYMENT,-338.99
06/03/2026,VENDOR 1413 PAYMENT,-61.99
06/04/2026,VENDOR 1414 PAYMENT,-79.99
06/05/2026,VENDOR 1415 PAYMENT,-81.99
06/06/2026,VENDOR 1416 PAYMENT,-498.99
06/07/2026,VENDOR 1417 PAYMENT,-278.99
06/08/2026,VENDOR 1418 PAYMENT,-68.99
06/09/2026,VENDOR 1419 PAYMENT,-243.99
06/10/2026,VENDOR 1420 PAYMENT,-403.99
06/11/2026,VENDOR 1421 PAYMENT,-395.99
06/12/2026,VENDOR 1422 PAYMENT,-161.99
06/13/2026,VENDOR 1423 PAYMENT,-173.99
06/14/2026,VENDOR 1424 PAYMENT,-382.99
06/15/2026,VENDOR 1425 PAYMENT,-1.99
06/16/2026,VENDOR 1426 PAYMENT,-350.99
06/17/2026,VENDOR 1427 PAYMENT,-445.99
06/18/2026,VENDOR 1428 PAYMENT,-182.99
06/19/2026,VENDOR 1429 PAYMENT,-235.99
06/20/2026,VENDOR 1430 PAYMENT,-160.99
06/21/2026,VENDOR 1431 PAYMENT,-177.99
06/22/2026,VENDOR 1432 PAYMENT,-15.99
06/23/2026,VENDOR 1433 PAYMENT,-314.99
06/24/2026,VENDOR 1434 PAYMENT,-25.99
06/25/2026,VENDOR 1435 PAYMENT,-370.99
06/26/2026,VENDOR 1436 PAYMENT,-236.99
06/27/2026,VENDOR 1437 PAYMENT,-243.99
06/28/2026,VENDOR 1438 PAYMENT,-225.99
06/29/2026,VENDOR 1439 PAYMENT,-159.99
01/01/2026,VENDOR 1440 PAYMENT,-282.99
01/02/2026,VENDOR 1441 PAYMENT,-64.99
01/03/2026,VENDOR 1442 PAYMENT,-220.99
01/04/2026,VENDOR 1443 PAYMENT,-422.99
01/05/2026,VENDOR 1444 PAYMENT,-442.99
01/06/2026,VENDOR 1445 PAYMENT,-46.99
01/07/2026,VENDOR 1446 PAYMENT,-260.99
01/08/2026,VENDOR 1447 PAYMENT,-170.99
01/09/2026,VENDOR 1448 PAYMENT,-244.99
01/10/2026,VENDOR 1449 PAYMENT,-42.99
01/11/2026,VENDOR 1450 PAYMENT,-132.99
01/12/2026,VENDOR 1451 PAYMENT,-330.99
01/13/2026,VENDOR 1452 PAYMENT,-220.99
01/14/2026,VENDOR 1453 PAYMENT,-211.99
01/15/2026,VENDOR 1454 PAYMENT,-228.99
01/16/2026,VENDOR 1455 PAYMENT,-25.99
01/17/2026,VENDOR 1456 PAYMENT,-96.99
01/18/2026,VENDOR 1457 PAYMENT,-130.99
01/19/2026,VENDOR 1458 PAYMENT,-58.99
01/20/2026,VENDOR 1459 PAYMENT,-349.99
01/21/2026,VENDOR 1460 PAYMENT,-48.99
01/22/2026,VENDOR 1461 PAYMENT,-50.99
01/23/2026,VENDOR 1462 PAYMENT,-236.99
01/24/2026,VENDOR 1463 PAYMENT,-111.99
01/25/2026,VENDOR 1464 PAYMENT,-302.99
01/26/2026,VENDOR 1465 PAYMENT,-474.99
01/27/2026,VENDOR 1466 PAYMENT,-313.99
01/28/2026,VENDOR 1467 PAYMENT,-192.99
01/29/2026,VENDOR 1468 PAYMENT,-71.99
01/30/2026,VENDOR 1469 PAYMENT,-475.99
01/31/2026,VENDOR 1470 PAYMENT,-483.99
02/01/2026,VENDOR 1471 PAYMENT,-442.99
02/02/2026,VENDOR 1472 PAYMENT,-69.99
02/03/2026,VENDOR 1473 PAYMENT,-441.99
02/04/2026,VENDOR 1474 PAYMENT,-308.99
02/05/2026,VENDOR 1475 PAYMENT,-320.99
02/06/2026,VENDOR 1476 PAYMENT,-361.99
02/07/2026,VENDOR 1477 PAYMENT,-319.99
02/08/2026,VENDOR 1478 PAYMENT,-421.99
02/09/2026,VENDOR 1479 PAYMENT,-1.99
02/10/2026,VENDOR 1480 PAYMENT,-0.99
02/11/2026,VENDOR 1481 PAYMENT,-138.99
02/12/2026,VENDOR 1482 PAYMENT,-248.99
02/13/2026,VENDOR 1483 PAYMENT,-294.99
02/14/2026,VENDOR 1484 PAYMENT,-359.99
02/15/2026,VENDOR 1485 PAYMENT,-5.99
02/16/2026,VENDOR 1486 PAYMENT,-376.99
02/17/2026,VENDOR 1487 PAYMENT,-248.99
02/18/2026,VENDOR 1488 PAYMENT,-486.99
02/19/2026,VENDOR 1489 PAYMENT,-208.99
02/20/2026,VENDOR 1490 PAYMENT,-372.99
02/21/2026,VENDOR 1491 PAYMENT,-18.99
02/22/2026,VENDOR 1492 PAYMENT,-161.99
02/23/2026,VENDOR 1493 PAYMENT,-97.99
02/24/2026,VENDOR 1494 PAYMENT,-470.99
02/25/2026,VENDOR 1495 PAYMENT,-401.99
02/26/2026,VENDOR 1496 PAYMENT,-232.99
02/27/2026,VENDOR 1497 PAYMENT,-82.99
02/28/2026,VENDOR 1498 PAYMENT,-378.99
03/01/2026,VENDOR 1499 PAYMENT,-327.99
03/02/2026,VENDOR 1500 PAYMENT,-54.99
03/03/2026,VENDOR 1501 PAYMENT,-427.99
03/04/2026,VENDOR 1502 PAYMENT,-186.99
03/05/2026,VENDOR 1503 PAYMENT,-431.99
03/06/2026,VENDOR 1504 PAYMENT,-72.99
03/07/2026,VENDOR 1505 PAYMENT,-3.99
03/08/2026,VENDOR 1506 PAYMENT,-141.99
03/09/2026,VENDOR 1507 PAYMENT,-85.99
03/10/2026,VENDOR 1508 PAYMENT,-411.99
03/11/2026,VENDOR 1509 PAYMENT,-355.99
03/12/2026,VENDOR 1510 PAYMENT,-442.99
03/13/2026,VENDOR 1511 PAYMENT,-367.99
03/14/2026,VENDOR 1512 PAYMENT,-91.99
03/15/2026,VENDOR 1513 PAYMENT,-203.99
03/16/2026,VENDOR 1514 PAYMENT,-19.99
03/17/2026,VENDOR 1515 PAYMENT,-243.99
03/18/2026,VENDOR 1516 PAYMENT,-190.99
03/19/2026,VENDOR 1517 PAYMENT,-328.99
03/20/2026,VENDOR 1518 PAYMENT,-424.99
03/21/2026,VENDOR 1519 PAYMENT,-99.99
03/22/2026,VENDOR 1520 PAYMENT,-171.99
03/23/2026,VENDOR 1521 PAYMENT,-77.99
03/24/2026,VENDOR 1522 PAYMENT,-19.99
03/25/2026,VENDOR 1523 PAYMENT,-212.99
03/26/2026,VENDOR 1524 PAYMENT,-237.99
03/27/2026,VENDOR 1525 PAYMENT,-321.99
03/28/2026,VENDOR 1526 PAYMENT,-92.99
03/29/2026,VENDOR 1527 PAYMENT,-133.99
03/30/2026,VENDOR 1528 PAYMENT,-195.99
03/31/2026,VENDOR 1529 PAYMENT,-453.99
04/01/2026,VENDOR 1530 PAYMENT,-9.99
04/02/2026,VENDOR 1531 PAYMENT,-434.99
04/03/2026,VENDOR 1532 PAYMENT,-440.99
04/04/2026,VENDOR 1533 PAYMENT,-254.99
04/05/2026,VENDOR 1534 PAYMENT,-164.99
04/06/2026,VENDOR 1535 PAYMENT,-436.99
04/07/2026,VENDOR 1536 PAYMENT,-399.99
04/08/2026,VENDOR 1537 PAYMENT,-321.99
04/09/2026,VENDOR 1538 PAYMENT,-447.99
04/10/2026,VENDOR 1539 PAYMENT,-396.99
04/11/2026,VENDOR 1540 PAYMENT,-472.99
04/12/2026,VENDOR 1541 PAYMENT,-371.99
04/13/2026,VENDOR 1542 PAYMENT,-22.99
04/14/2026,VENDOR 1543 PAYMENT,-216.99
04/15/2026,VENDOR 1544 PAYMENT,-372.99
04/16/2026,VENDOR 1545 PAYMENT,-88.99
04/17/2026,VENDOR 1546 PAYMENT,-348.99
04/18/2026,VENDOR 1547 PAYMENT,-289.99
04/19/2026,VENDOR 1548 PAYMENT,-351.99
04/20/2026,VENDOR 1549 PAYMENT,-118.99
04/21/2026,VENDOR 1550 PAYMENT,-7.99
04/22/2026,VENDOR 1551 PAYMENT,-481.99
04/23/2026,VENDOR 1552 PAYMENT,-348.99
04/24/2026,VENDOR 1553 PAYMENT,-21.99
04/25/2026,VENDOR 1554 PAYMENT,-384.99
04/26/2026,VENDOR 1555 PAYMENT,-426.99
04/27/2026,VENDOR 1556 PAYMENT,-16.99
04/28/2026,VENDOR 1557 PAYMENT,-381.99
04/29/2026,VENDOR 1558 PAYMENT,-107.99
04/30/2026,VENDOR 1559 PAYMENT,-223.99
05/01/2026,VENDOR 1560 PAYMENT,-22.99
05/02/2026,VENDOR 1561 PAYMENT,-61.99
05/03/2026,VENDOR 1562 PAYMENT,-42.99
05/04/2026,VENDOR 1563 PAYMENT,-42.99
05/05/2026,VENDOR 1564 PAYMENT,-174.99
05/06/2026,VENDOR 1565 PAYMENT,-420.99
05/07/2026,VENDOR 1566 PAYMENT,-467.99
05/08/2026,VENDOR 1567 PAYMENT,-115.99
05/09/2026,VENDOR 1568 PAYMENT,-68.99
05/10/2026,VENDOR 1569 PAYMENT,-273.99
05/11/2026,VENDOR 1570 PAYMENT,-355.99
05/12/2026,VENDOR 1571 PAYMENT,-4.99
05/13/2026,VENDOR 1572 PAYMENT,-249.99
05/14/2026,VENDOR 1573 PAYMENT,-319.99
05/15/2026,VENDOR 1574 PAYMENT,-337.99
05/16/2026,VENDOR 1575 PAYMENT,-189.99
05/17/2026,VENDOR 1576 PAYMENT,-189.99
05/18/2026,VENDOR 1577 PAYMENT,-318.99
05/19/2026,VENDOR 1578 PAYMENT,-194.99
05/20/2026,VENDOR 1579 PAYMENT,-494.99
05/21/2026,VENDOR 1580 PAYMENT,-318.99
05/22/2026,VENDOR 1581 PAYMENT,-186.99
05/23/2026,VENDOR 1582 PAYMENT,-38.99
05/24/2026,VENDOR 1583 PAYMENT,-293.99
05/25/2026,VENDOR 1584 PAYMENT,-447.99
05/26/2026,VENDOR 1585 PAYMENT,-261.99
05/27/2026,VENDOR 1586 PAYMENT,-91.99
05/28/2026,VENDOR 1587 PAYMENT,-69.99
05/29/2026,VENDOR 1588 PAYMENT,-104.99
05/30/2026,VENDOR 1589 PAYMENT,-124.99
05/31/2026,VENDOR 1590 PAYMENT,-177.99
06/01/2026,VENDOR 1591 PAYMENT,-58.99
06/02/2026,VENDOR 1592 PAYMENT,-282.99
06/03/2026,VENDOR 1593 PAYMENT,-57.99
06/04/2026,VENDOR 1594 PAYMENT,-76.99
06/05/2026,VENDOR 1595 PAYMENT,-117.99
06/06/2026,VENDOR 1596 PAYMENT,-220.99
06/07/2026,VENDOR 1597 PAYMENT,-451.99
06/08/2026,VENDOR 1598 PAYMENT,-120.99
06/09/2026,VENDOR 1599 PAYMENT,-336.99
06/10/2026,VENDOR 1600 PAYMENT,-277.99
06/11/2026,VENDOR 1601 PAYMENT,-363.99
06/12/2026,VENDOR 1602 PAYMENT,-312.99
06/13/2026,VENDOR 1603 PAYMENT,-82.99
06/14/2026,VENDOR 1604 PAYMENT,-334.99
06/15/2026,VENDOR 1605 PAYMENT,-409.99
06/16/2026,VENDOR 1606 PAYMENT,-171.99
06/17/2026,VENDOR 1607 PAYMENT,-155.99
06/18/2026,VENDOR 1608 PAYMENT,-39.99
06/19/2026,VENDOR 1609 PAYMENT,-496.99
06/20/2026,VENDOR 1610 PAYMENT,-156.99
06/21/2026,VENDOR 1611 PAYMENT,-4.99
06/22/2026,VENDOR 1612 PAYMENT,-309.99
06/23/2026,VENDOR 1613 PAYMENT,-363.99
06/24/2026,VENDOR 1614 PAYMENT,-473.99
06/25/2026,VENDOR 1615 PAYMENT,-401.99
06/26/2026,VENDOR 1616 PAYMENT,-462.99
06/27/2026,VENDOR 1617 PAYMENT,-238.99
06/28/2026,VENDOR 1618 PAYMENT,-75.99
06/29/2026,VENDOR 1619 PAYMENT,-62.99
01/01/2026,VENDOR 1620 PAYMENT,-291.99
01/02/2026,VENDOR 1621 PAYMENT,-157.99
01/03/2026,VENDOR 1622 PAYMENT,-485.99
01/04/2026,VENDOR 1623 PAYMENT,-177.99
01/05/2026,VENDOR 1624 PAYMENT,-358.99
01/06/2026,VENDOR 1625 PAYMENT,-132.99
01/07/2026,VENDOR 1626 PAYMENT,-454.99
01/08/2026,VENDOR 1627 PAYMENT,-213.99
01/09/2026,VENDOR 1628 PAYMENT,-186.99
01/10/2026,VENDOR 1629 PAYMENT,-51.99
01/11/2026,VENDOR 1630 PAYMENT,-498.99
01/12/2026,VENDOR 1631 PAYMENT,-258.99
01/13/2026,VENDOR 1632 PAYMENT,-470.99
01/14/2026,VENDOR 1633 PAYMENT,-367.99
01/15/2026,VENDOR 1634 PAYMENT,-410.99
01/16/2026,VENDOR 1635 PAYMENT,-75.99
01/17/2026,VENDOR 1636 PAYMENT,-143.99
01/18/2026,VENDOR 1637 PAYMENT,-282.99
01/19/2026,VENDOR 1638 PAYMENT,-414.99
01/20/2026,VENDOR 1639 PAYMENT,-241.99
01/21/2026,VENDOR 1640 PAYMENT,-126.99
01/22/2026,VENDOR 1641 PAYMENT,-45.99
01/23/2026,VENDOR 1642 PAYMENT,-136.99
01/24/2026,VENDOR 1643 PAYMENT,-87.99
01/25/2026,VENDOR 1644 PAYMENT,-97.99
01/26/2026,VENDOR 1645 PAYMENT,-72.99
01/27/2026,VENDOR 1646 PAYMENT,-66.99
01/28/2026,VENDOR 1647 PAYMENT,-438.99
01/29/2026,VENDOR 1648 PAYMENT,-153.99
01/30/2026,VENDOR 1649 PAYMENT,-128.99
01/31/2026,VENDOR 1650 PAYMENT,-292.99
02/01/2026,VENDOR 1651 PAYMENT,-84.99
02/02/2026,VENDOR 1652 PAYMENT,-353.99
02/03/2026,VENDOR 1653 PAYMENT,-65.99
02/04/2026,VENDOR 1654 PAYMENT,-97.99
02/05/2026,VENDOR 1655 PAYMENT,-144.99
02/06/2026,VENDOR 1656 PAYMENT,-417.99
02/07/2026,VENDOR 1657 PAYMENT,-271.99
02/08/2026,VENDOR 1658 PAYMENT,-496.99
02/09/2026,VENDOR 1659 PAYMENT,-342.99
02/10/2026,VENDOR 1660 PAYMENT,-494.99
02/11/2026,VENDOR 1661 PAYMENT,-85.99
02/12/2026,VENDOR 1662 PAYMENT,-198.99
02/13/2026,VENDOR 1663 PAYMENT,-267.99
02/14/2026,VENDOR 1664 PAYMENT,-170.99
02/15/2026,VENDOR 1665 PAYMENT,-428.99
02/16/2026,VENDOR 1666 PAYMENT,-355.99
02/17/2026,VENDOR 1667 PAYMENT,-225.99
02/18/2026,VENDOR 1668 PAYMENT,-25.99
02/19/2026,VENDOR 1669 PAYMENT,-207.99
02/20/2026,VENDOR 1670 PAYMENT,-293.99
02/21/2026,VENDOR 1671 PAYMENT,-114.99
02/22/2026,VENDOR 1672 PAYMENT,-15.99
02/23/2026,VENDOR 1673 PAYMENT,-30.99
02/24/2026,VENDOR 1674 PAYMENT,-404.99
02/25/2026,VENDOR 1675 PAYMENT,-138.99
02/26/2026,VENDOR 1676 PAYMENT,-315.99
02/27/2026,VENDOR 1677 PAYMENT,-99.99
02/28/2026,VENDOR 1678 PAYMENT,-449.99
03/01/2026,VENDOR 1679 PAYMENT,-269.99
03/02/2026,VENDOR 1680 PAYMENT,-65.99
03/03/2026,VENDOR 1681 PAYMENT,-152.99
03/04/2026,VENDOR 1682 PAYMENT,-179.99
03/05/2026,VENDOR 1683 PAYMENT,-422.99
03/06/2026,VENDOR 1684 PAYMENT,-118.99
03/07/2026,VENDOR 1685 PAYMENT,-317.99
03/08/2026,VENDOR 1686 PAYMENT,-283.99
03/09/2026,VENDOR 1687 PAYMENT,-116.99
03/10/2026,VENDOR 1688 PAYMENT,-156.99
03/11/2026,VENDOR 1689 PAYMENT,-354.99
03/12/2026,VENDOR 1690 PAYMENT,-253.99
03/13/2026,VENDOR 1691 PAYMENT,-324.99
03/14/2026,VENDOR 1692 PAYMENT,-439.99
03/15/2026,VENDOR 1693 PAYMENT,-185.99
03/16/2026,VENDOR 1694 PAYMENT,-234.99
03/17/2026,VENDOR 1695 PAYMENT,-337.99
03/18/2026,VENDOR 1696 PAYMENT,-121.99
03/19/2026,VENDOR 1697 PAYMENT,-158.99
03/20/2026,VENDOR 1698 PAYMENT,-435.99
03/21/2026,VENDOR 1699 PAYMENT,-276.99
03/22/2026,VENDOR 1700 PAYMENT,-327.99
03/23/2026,VENDOR 1701 PAYMENT,-482.99
03/24/2026,VENDOR 1702 PAYMENT,-402.99
03/25/2026,VENDOR 1703 PAYMENT,-311.99
03/26/2026,VENDOR 1704 PAYMENT,-196.99
03/27/2026,VENDOR 1705 PAYMENT,-49.99
03/28/2026,VENDOR 1706 PAYMENT,-436.99
03/29/2026,VENDOR 1707 PAYMENT,-80.99
03/30/2026,VENDOR 1708 PAYMENT,-258.99
03/31/2026,VENDOR 1709 PAYMENT,-421.99
04/01/2026,VENDOR 1710 PAYMENT,-150.99
04/02/2026,VENDOR 1711 PAYMENT,-442.99
04/03/2026,VENDOR 1712 PAYMENT,-469.99
04/04/2026,VENDOR 1713 PAYMENT,-163.99
04/05/2026,VENDOR 1714 PAYMENT,-201.99
04/06/2026,VENDOR 1715 PAYMENT,-93.99
04/07/2026,VENDOR 1716 PAYMENT,-35.99
04/08/2026,VENDOR 1717 PAYMENT,-401.99
04/09/2026,VENDOR 1718 PAYMENT,-125.99
04/10/2026,VENDOR 1719 PAYMENT,-151.99
04/11/2026,VENDOR 1720 PAYMENT,-416.99
04/12/2026,VENDOR 1721 PAYMENT,-116.99
04/13/2026,VENDOR 1722 PAYMENT,-491.99
04/14/2026,VENDOR 1723 PAYMENT,-412.99
04/15/2026,VENDOR 1724 PAYMENT,-399.99
04/16/2026,VENDOR 1725 PAYMENT,-377.99
04/17/2026,VENDOR 1726 PAYMENT,-348.99
04/18/2026,VENDOR 1727 PAYMENT,-225.99
04/19/2026,VENDOR 1728 PAYMENT,-294.99
04/20/2026,VENDOR 1729 PAYMENT,-489.99
04/21/2026,VENDOR 1730 PAYMENT,-432.99
04/22/2026,VENDOR 1731 PAYMENT,-153.99
04/23/2026,VENDOR 1732 PAYMENT,-26.99
04/24/2026,VENDOR 1733 PAYMENT,-82.99
04/25/2026,VENDOR 1734 PAYMENT,-394.99
04/26/2026,VENDOR 1735 PAYMENT,-449.99
04/27/2026,VENDOR 1736 PAYMENT,-217.99
04/28/2026,VENDOR 1737 PAYMENT,-87.99
04/29/2026,VENDOR 1738 PAYMENT,-161.99
04/30/2026,VENDOR 1739 PAYMENT,-104.99
05/01/2026,VENDOR 1740 PAYMENT,-465.99
05/02/2026,VENDOR 1741 PAYMENT,-198.99
05/03/2026,VENDOR 1742 PAYMENT,-132.99
05/04/2026,VENDOR 1743 PAYMENT,-35.99
05/05/2026,VENDOR 1744 PAYMENT,-19.99
05/06/2026,VENDOR 1745 PAYMENT,-144.99
05/07/2026,VENDOR 1746 PAYMENT,-172.99
05/08/2026,VENDOR 1747 PAYMENT,-400.99
05/09/2026,VENDOR 1748 PAYMENT,-432.99
05/10/2026,VENDOR 1749 PAYMENT,-124.99
05/11/2026,VENDOR 1750 PAYMENT,-70.99
05/12/2026,VENDOR 1751 PAYMENT,-244.99
05/13/2026,VENDOR 1752 PAYMENT,-14.99
05/14/2026,VENDOR 1753 PAYMENT,-267.99
05/15/2026,VENDOR 1754 PAYMENT,-481.99
05/16/2026,VENDOR 1755 PAYMENT,-101.99
05/17/2026,VENDOR 1756 PAYMENT,-93.99
05/18/2026,VENDOR 1757 PAYMENT,-375.99
05/19/2026,VENDOR 1758 PAYMENT,-117.99
05/20/2026,VENDOR 1759 PAYMENT,-478.99
05/21/2026,VENDOR 1760 PAYMENT,-482.99
05/22/2026,VENDOR 1761 PAYMENT,-100.99
05/23/2026,VENDOR 1762 PAYMENT,-345.99
05/24/2026,VENDOR 1763 PAYMENT,-60.99
05/25/2026,VENDOR 1764 PAYMENT,-167.99
05/26/2026,VENDOR 1765 PAYMENT,-0.99
05/27/2026,VENDOR 1766 PAYMENT,-383.99
05/28/2026,VENDOR 1767 PAYMENT,-304.99
05/29/2026,VENDOR 1768 PAYMENT,-244.99
05/30/2026,VENDOR 1769 PAYMENT,-133.99
05/31/2026,VENDOR 1770 PAYMENT,-98.99
06/01/2026,VENDOR 1771 PAYMENT,-302.99
06/02/2026,VENDOR 1772 PAYMENT,-345.99
06/03/2026,VENDOR 1773 PAYMENT,-495.99
06/04/2026,VENDOR 1774 PAYMENT,-26.99
06/05/2026,VENDOR 1775 PAYMENT,-316.99
06/06/2026,VENDOR 1776 PAYMENT,-33.99
06/07/2026,VENDOR 1777 PAYMENT,-461.99
06/08/2026,VENDOR 1778 PAYMENT,-185.99
06/09/2026,VENDOR 1779 PAYMENT,-87.99
06/10/2026,VENDOR 1780 PAYMENT,-125.99
06/11/2026,VENDOR 1781 PAYMENT,-324.99
06/12/2026,VENDOR 1782 PAYMENT,-102.99
06/13/2026,VENDOR 1783 PAYMENT,-293.99
06/14/2026,VENDOR 1784 PAYMENT,-91.99
06/15/2026,VENDOR 1785 PAYMENT,-363.99
06/16/2026,VENDOR 1786 PAYMENT,-164.99
